Class,Confidence,StartX,StartY,EndX,EndY,Timestamp,ImagePath
person,0.9989731907844543,34,33,594,467,20231204165623,images\person_20231204165623.png
person,0.9983545541763306,7,49,557,458,20231204165624,images\person_20231204165624.png
person,0.9970687627792358,36,44,584,460,20231204165625,images\person_20231204165625.png
person,0.9983054399490356,32,41,585,461,20231204165627,images\person_20231204165627.png
person,0.9988994002342224,64,108,572,468,20231204165628,images\person_20231204165628.png
person,0.9868453145027161,105,102,524,467,20231204165629,images\person_20231204165629.png
person,0.9887658357620239,42,117,501,488,20231204165630,images\person_20231204165630.png
person,0.9488499164581299,133,141,608,484,20231204165632,images\person_20231204165632.png
person,0.9877936840057373,214,149,634,477,20231204165633,images\person_20231204165633.png
cell phone,0.7724765539169312,98,75,312,431,20231204165635,images\cell phone_20231204165635.png
cell phone,0.9019311666488647,161,93,393,472,20231204165636,images\cell phone_20231204165636.png
cell phone,0.9804751873016357,191,97,417,464,20231204165637,images\cell phone_20231204165637.png
cell phone,0.7505420446395874,191,97,406,468,20231204165638,images\cell phone_20231204165638.png
cell phone,0.7802378535270691,173,93,394,479,20231204165639,images\cell phone_20231204165639.png
cell phone,0.9147955775260925,182,97,387,472,20231204165640,images\cell phone_20231204165640.png
cell phone,0.8284994959831238,181,95,395,477,20231204165641,images\cell phone_20231204165641.png
cell phone,0.9091517925262451,99,75,350,461,20231204165642,images\cell phone_20231204165642.png
